Line,Order,From_Station,To_Station,Total,PM Peak   ,Evening   ,Late      
Bakerloo,1,Elephant & Castle ,Lambeth North,"17,042","4,118","1,288",398
Bakerloo,2,Lambeth North,Waterloo ,"22,260","5,718","1,916",580
Bakerloo,3,Waterloo ,Embankment,"58,014","13,746","4,609","1,466"
Bakerloo,4,Embankment,Charing Cross ,"65,347","17,155","5,959","1,940"
Bakerloo,5,Charing Cross ,Piccadilly Circus,"75,931","20,112","7,712","3,035"
Bakerloo,6,Piccadilly Circus,Oxford Circus,"87,837","25,117","13,140","6,971"
Bakerloo,7,Oxford Circus,Regent's Park,"95,584","27,291","15,471","7,124"
Bakerloo,8,Regent's Park,Baker Street,"92,109","27,339","15,594","7,302"
Bakerloo,9,Baker Street,Marylebone ,"96,623","29,659","15,293","6,511"
Bakerloo,10,Marylebone ,Edgware Road (B),"79,405","23,338","12,850","5,496"
Bakerloo,11,Edgware Road (B),Paddington,"72,864","22,338","12,317","5,152"
Bakerloo,12,Paddington,Warwick Avenue,"35,177","11,392","7,403","3,041"
Bakerloo,13,Warwick Avenue,Maida Vale,"30,458","10,057","6,381","2,569"
Bakerloo,14,Maida Vale,Kilburn Park,"26,316","8,896","5,357","2,198"
Bakerloo,15,Kilburn Park,Queen's Park,"22,758","7,775","4,537","1,834"
Bakerloo,16,Queen's Park,Kensal Green,"14,480","5,100","2,673","1,069"
Bakerloo,17,Kensal Green,Willesden Junction,"13,115","4,561","2,310",910
Bakerloo,18,Willesden Junction,Harlesden,"12,198","4,303","2,121",795
Bakerloo,19,Harlesden,Stonebridge Park,"10,575","4,009","1,860",672
Bakerloo,20,Stonebridge Park,Wembley Central,"9,021","3,421","1,545",543
Bakerloo,21,Wembley Central,North Wembley,"6,131","2,304","1,100",353
Bakerloo,22,North Wembley,South Kenton,"5,111","1,845",880,260
Bakerloo,23,South Kenton,Kenton,"4,038","1,336",647,191
Bakerloo,24,Kenton,Harrow & Wealdstone,"2,614",821,433,131
Bakerloo,1,Harrow & Wealdstone,Kenton,"3,102",715,205,56
Bakerloo,2,Kenton,South Kenton,"4,650",993,324,78
Bakerloo,3,South Kenton,North Wembley,"5,619","1,074",313,86
Bakerloo,4,North Wembley,Wembley Central,"6,936","1,243",361,91
Bakerloo,5,Wembley Central,Stonebridge Park,"9,888","1,783",583,166
Bakerloo,6,Stonebridge Park,Harlesden,"11,659","2,090",648,188
Bakerloo,7,Harlesden,Willesden Junction,"13,267","2,675",757,216
